"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-1426 0.189563096413016 2 10 "GO:0000380" "alternative mRNA splicing, via spliceosome" 0.500383033827654
709 0.243937416414414 3 32 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.56500210419515
1213 0.0297765005306602 3 38 "GO:0000387" "spliceosomal snRNP assembly" 0.187106863142166
2426 0.0617716467491462 2 7 "GO:0000389" "mRNA 3'-splice site recognition" 0.278237398369605
99 0.94845043388981 4 5 "GO:0000395" "mRNA 5'-splice site recognition" 0.985803051365046
1158 6.13852803545027e-05 3 143 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions" 0.00320073596383488
1733 0.0180516635729612 2 22 "GO:0000413" "protein peptidyl-prolyl isomerization" 0.145245403600708
662 0.229701397143129 3 39 "GO:0000422;GO:0061726" "autophagy of mitochondrion" 0.552178363675063
-70 0.957121843755365 6 7 "GO:0000423" "mitophagy" 0.988200709730308
1671 0.0688902914541101 3 14 "GO:0000447;GO:0000479;GO:0000478" "endonucleolytic cleavage involved in rRNA processing" 0.292993802163053
1544 0.11970375857702 2 12 "GO:0000460" "maturation of 5.8S rRNA" 0.401508052931501
970 0.0952096125388868 3 35 "GO:0000462;GO:0030490" "maturation of SSU-rRNA" 0.355697857861428
248 0.838504553833694 2 8 "GO:0000466;GO:0000463" "maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.948511860643219
1884 0.146837458677234 2 7 "GO:0000467;GO:0000459;GO:0031125" "rRNA 3'-end processing" 0.443894428822732
1953 0.00772342187884328 2 22 "GO:0000469" "cleavage involved in rRNA processing" 0.0903296246968676
1257 0.205292482571776 9 12 "GO:0000470" "maturation of LSU-rRNA" 0.522110913091602
2003 0.192390898909505 2 5 "GO:0000472;GO:0000967" "endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.505026109637451
2632 0.0426765246010673 6 7 "GO:0000480" "endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.225808038902624
1432 0.3072684890036 3 6 "GO:0000491" "small nucleolar ribonucleoprotein complex assembly" 0.631365842013824
-1400 0.127427775867124 2 14 "GO:0000578" "embryonic axis specification" 0.413811849465403
602 0.695333046663818 3 5 "GO:0000706" "meiotic DNA double-strand break processing" 0.886760768012561
-373 0.808168184165092 2 5 "GO:0000710" "meiotic mismatch repair" 0.932400564375143
-39 0.971604969770385 4 10 "GO:0000712" "resolution of meiotic recombination intermediates" 0.993334106091352
793 0.605682692836972 2 5 "GO:0000715" "nucleotide-excision repair, DNA damage recognition" 0.845450730769481
-1476 0.0231216000317232 2 28 "GO:0000722;GO:0006312" "mitotic recombination" 0.164520118952088
-415 0.25345563178726 5 90 "GO:0000723;GO:0032200" "telomere organization" 0.576867948070715
-46 0.905777034934346 6 80 "GO:0000724;GO:0000725" "recombinational repair" 0.972957506834895
1257 0.413231897927665 2 5 "GO:0000727" "double-strand break repair via break-induced replication" 0.716986848195576
489 0.569134058475257 2 16 "GO:0000729" "DNA double-strand break processing" 0.821618828687928
-109 0.865070352962552 2 29 "GO:0000731" "DNA synthesis involved in DNA repair" 0.957707351012557
1411 0.31464825321244 6 6 "GO:0000733" "DNA strand renaturation" 0.638263553641407
266 0.742917184427145 2 18 "GO:0000737;GO:0006308" "DNA catabolic process" 0.905024219956358
596 0.697933000912637 2 5 "GO:0000738" "DNA catabolic process, exonucleolytic" 0.888176981661333
-137 0.603032016134819 2 172 "GO:0000902" "cell morphogenesis" 0.843547151459437
-122 0.692490732579562 3 125 "GO:0000904" "cell morphogenesis involved in differentiation" 0.886005608296353
-91 0.948390390354114 4 6 "GO:0000915;GO:0000912;GO:0044837" "assembly of actomyosin apparatus involved in cytokinesis" 0.985803051365046
286 0.374753655070541 3 115 "GO:0000956;GO:0006402" "mRNA catabolic process" 0.692974605316651
1999 0.00932699378417188 2 20 "GO:0000959" "mitochondrial RNA metabolic process" 0.100153981799622
1884 0.0830573763351431 2 10 "GO:0000963;GO:0140053" "mitochondrial RNA processing" 0.329202887742353
3308 0.0313434626920941 2 5 "GO:0000965" "mitochondrial RNA 3'-end processing" 0.193045318153594
2175 0.156914481002876 2 5 "GO:0000972" "transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery" 0.458516340592819
-1565 0.149925372694893 -1 10 "GO:0001302" "obsolete replicative cell aging" 0.448921030407712
0 0.999567510787803 3 89 "GO:0001501" "skeletal system development" 0.999974510621014
-2203 0.033493136471494 3 11 "GO:0001502;GO:0098743" "cartilage condensation" 0.197571872444206
-986 0.00310552408303375 2 107 "GO:0001503" "ossification" 0.0473380702696443
-2163 0.095851794631011 3 7 "GO:0001504" "neurotransmitter uptake" 0.356333382872956
-1039 0.000282659427644825 2 146 "GO:0001505" "regulation of neurotransmitter levels" 0.00974865544249488
-1937 3.52989135254614e-06 3 68 "GO:0001508" "action potential" 0.000308865493347787
1214 0.00953847445710685 6 54 "GO:0001510" "RNA methylation" 0.100153981799622
256 0.867572226245726 6 5 "GO:0001514;GO:0006451" "selenocysteine incorporation" 0.95777541332034
-421 0.746127455630001 7 7 "GO:0001516;GO:0046457" "prostanoid biosynthetic process" 0.905239992563132
682 0.474270500131539 6 13 "GO:0001522" "pseudouridine synthesis" 0.762999017065551
-584 0.377888044587371 3 27 "GO:0001523;GO:0016101" "diterpenoid metabolic process" 0.695567203223735
-325 0.169751886710493 2 214 "GO:0001525" "angiogenesis" 0.475164493309881
987 0.188154903126308 4 21 "GO:0001541" "ovarian follicle development" 0.499063893578263
-891 0.525132336156185 3 6 "GO:0001556" "oocyte maturation" 0.791467396599035
-48 0.84324656195784 2 206 "GO:0001558" "regulation of cell growth" 0.950699293876501
2564 0.0483906344824097 5 7 "GO:0001561" "fatty acid alpha-oxidation" 0.242604196095592
-426 0.287844582650788 2 74 "GO:0001568" "blood vessel development" 0.612743457916714
-403 0.773818460252868 3 6 "GO:0001569" "branching involved in blood vessel morphogenesis" 0.916982138308247
-186 0.751960049774476 3 34 "GO:0001570" "vasculogenesis" 0.907306239832584
420 0.78465283734294 2 5 "GO:0001573" "ganglioside metabolic process" 0.922420714645983
260 0.542821328914053 5 65 "GO:0001578" "microtubule bundle formation" 0.804022187811567
-2973 0.00944990144219953 2 9 "GO:0001580;GO:0050912;GO:0050960;GO:0046957;GO:0052129;GO:0010378" "detection of chemical stimulus involved in sensory perception of taste" 0.100153981799622
394 0.442157791768895 3 45 "GO:0001649" "osteoblast differentiation" 0.738173667820091
117 0.736119480357155 2 98 "GO:0001654;GO:0007423" "sensory organ development" 0.903419362256508
-807 0.159349980218371 4 36 "GO:0001656" "metanephros development" 0.46248688976155
-1259 0.0383376726961649 2 32 "GO:0001658" "branching involved in ureteric bud morphogenesis" 0.211782217838531
-697 0.417383932977718 3 16 "GO:0001659" "temperature homeostasis" 0.720606767184528
-343 0.689797477551688 3 16 "GO:0001662;GO:0002209;GO:0042596" "behavioral fear response" 0.88537102462889
160 0.558607284321391 2 159 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 0.816399448938624
-826 0.00681321748001179 4 128 "GO:0001667" "ameboidal-type cell migration" 0.0831846320233998
775 0.61407453782182 2 5 "GO:0001675" "acrosome assembly" 0.849385887356001
-445 0.375580031608694 4 47 "GO:0001676" "long-chain fatty acid metabolic process" 0.693317024566883
-396 0.634798581802733 3 17 "GO:0001696;GO:0001698;GO:0001697;GO:1900139;GO:0032304;GO:0090237" "gastric acid secretion" 0.859187424525326
261 0.395926614778611 2 126 "GO:0001701;GO:0043009;GO:0009792;GO:0009790" "embryo development ending in birth or egg hatching" 0.706211119225722
-438 0.485930917938398 2 30 "GO:0001702" "gastrulation with mouth forming second" 0.771254144191781
-962 0.15371048119164 3 26 "GO:0001704" "formation of primary germ layer" 0.4553492311163
-81 0.92218507620716 4 17 "GO:0001707" "mesoderm formation" 0.977416887635449
-786 0.125511621177946 2 45 "GO:0001708" "cell fate specification" 0.410126148039969
-1648 0.0112189586795606 2 28 "GO:0001709" "cell fate determination" 0.110923508504881
2958 0.0148950303678322 3 8 "GO:0001731" "formation of translation preinitiation complex" 0.133372416949387
2408 0.0022662630556097 2 19 "GO:0001732" "formation of cytoplasmic translation initiation complex" 0.038518319919985
-1203 0.00634812235928392 3 61 "GO:0001736;GO:0007164" "establishment of planar polarity" 0.0789338898621487
-538 0.658078322427283 2 8 "GO:0001738" "morphogenesis of a polarized epithelium" 0.869820409590387
1823 0.111521816438048 2 9 "GO:0001745" "compound eye morphogenesis" 0.387394425435891
369 0.792356440937794 2 6 "GO:0001751" "compound eye photoreceptor cell differentiation" 0.926109463545803
-1694 0.0877705159965814 4 12 "GO:0001752;GO:0042067;GO:0007464" "establishment of ommatidial planar polarity" 0.337441568823309
844 0.311654762877684 2 17 "GO:0001754;GO:0046530" "photoreceptor cell differentiation" 0.635501358693589
-847 0.15738229139973 2 33 "GO:0001755" "neural crest cell migration" 0.459238117755063
-149 0.797811678916639 2 35 "GO:0001756;GO:0035282" "segmentation" 0.928487729773675
-1811 0.0679266380835983 2 12 "GO:0001759;GO:0003156;GO:0031128" "regulation of animal organ formation" 0.291412430159727
-1384 0.000424254334567943 4 77 "GO:0001764" "neuron migration" 0.0128500110950867
1938 0.167154861245425 4 6 "GO:0001773;GO:0043011" "myeloid dendritic cell activation" 0.470964054492924
-4198 4.87872918837132e-06 2 14 "GO:0001778" "plasma membrane repair" 0.000419127189364627
-223 0.85462935020635 6 8 "GO:0001779;GO:0030101" "natural killer cell activation" 0.955768918278107
316 0.721770381639884 2 15 "GO:0001782" "B cell homeostasis" 0.900279944388207
260 0.705387116320402 2 25 "GO:0001816" "cytokine production" 0.89131865781116
144 0.543890016159716 2 213 "GO:0001817" "regulation of cytokine production" 0.804860810454149
-421 0.265671465703584 2 83 "GO:0001818" "negative regulation of cytokine production" 0.589341631666401
315 0.322886142962478 2 117 "GO:0001819" "positive regulation of cytokine production" 0.64464738607247
-623 0.0436692385477937 3 125 "GO:0001822" "kidney development" 0.228604280200218
1718 0.0972501569177208 2 11 "GO:0001824" "blastocyst development" 0.360397640342142
2569 0.0180749835591992 3 10 "GO:0001825" "blastocyst formation" 0.145245403600708
526 0.732143369341093 3 5 "GO:0001829" "trophectodermal cell differentiation" 0.902294583808019
1170 0.219764072639047 3 13 "GO:0001833" "inner cell mass cell proliferation" 0.53942090556857
58 0.961856265232979 4 8 "GO:0001835;GO:0035188;GO:0071684" "blastocyst hatching" 0.989499423737388
1301 0.231259752503939 3 10 "GO:0001836" "release of cytochrome c from mitochondria" 0.55298217127911
-319 0.600137456575955 2 32 "GO:0001838;GO:0072175" "epithelial tube formation" 0.84218873843819
675 0.603069265106874 2 7 "GO:0001841" "neural tube formation" 0.843547151459437
-643 0.0890307944582445 2 83 "GO:0001843;GO:0060606" "neural tube closure" 0.340899922054461
2509 0.0736864222360405 3 6 "GO:0001867" "complement activation, lectin pathway" 0.305143159566425
629 0.135114986503467 5 67 "GO:0001889" "liver development" 0.426958455550082
1024 0.282972712682765 3 13 "GO:0001890" "placenta development" 0.605805755554958
-3117 0.00413274163774158 3 10 "GO:0001892" "embryonic placenta development" 0.0584646833482903
-1505 6.44612499949329e-06 2 107 "GO:0001894" "tissue homeostasis" 0.000507632343710097
-2867 0.0182765436841891 3 8 "GO:0001895" "retina homeostasis" 0.146175620586712
1086 0.294749604425611 2 11 "GO:0001906" "cell killing" 0.617875723563004
2108 0.104557007192647 3 7 "GO:0001909" "leukocyte mediated cytotoxicity" 0.373615685169404
13 0.987700326102267 2 18 "GO:0001910;GO:0031341" "regulation of cell killing" 0.99613692462672
-553 0.546988122589636 6 14 "GO:0001912;GO:0031343" "positive regulation of cell killing" 0.807266537122961
-612 0.537389376461961 3 12 "GO:0001916;GO:0001914" "regulation of T cell mediated cytotoxicity" 0.798982002448951
-943 0.232039862706163 2 19 "GO:0001919" "regulation of receptor recycling" 0.553731490548798
-219 0.840481573174855 3 10 "GO:0001921" "positive regulation of receptor recycling" 0.94961153353687
2760 0.0491022953139306 3 6 "GO:0001923" "B-1 B cell differentiation" 0.244476654750603
260 0.27193031377929 2 214 "GO:0001933;GO:0042326" "negative regulation of phosphorylation" 0.594297286127264
-435 0.571092138047021 4 20 "GO:0001935" "endothelial cell proliferation" 0.823188026928668
1326 0.122717992494031 2 16 "GO:0001937" "negative regulation of endothelial cell proliferation" 0.404917957077023
-162 0.729928151462554 2 54 "GO:0001938;GO:0001936" "regulation of endothelial cell proliferation" 0.902202980162915
-495 0.463119062943857 2 26 "GO:0001942" "hair follicle development" 0.755346072630212
-1460 0.0640616785706239 2 19 "GO:0001944" "vasculature development" 0.282218667634944
-306 0.518241463960659 2 53 "GO:0001947;GO:0003143" "embryonic heart tube morphogenesis" 0.788137883703636
-421 0.309945245728005 2 69 "GO:0001952" "regulation of cell-matrix adhesion" 0.634528286856509
714 0.406058345587756 3 16 "GO:0001953" "negative regulation of cell-matrix adhesion" 0.715104615319473
-821 0.273636149422579 2 21 "GO:0001954" "positive regulation of cell-matrix adhesion" 0.596629871268632
-888 0.391236453650802 3 11 "GO:0001955" "blood vessel maturation" 0.705809868055044
-144 0.862484218246795 2 17 "GO:0001956;GO:0051590" "positive regulation of neurotransmitter transport" 0.957707351012557
-1744 0.256304946376159 2 5 "GO:0001957;GO:0036072" "intramembranous ossification" 0.579834244017475
-1047 0.196277942139881 4 18 "GO:0001958;GO:0036075" "endochondral ossification" 0.51009911095721
486 0.188218382720945 3 87 "GO:0001959;GO:0060759" "regulation of response to cytokine stimulus" 0.499063893578263
-45 0.929024012730634 2 47 "GO:0001960;GO:0060761" "negative regulation of response to cytokine stimulus" 0.979759005647996
615 0.206855218434546 3 50 "GO:0001961;GO:0060760" "positive regulation of response to cytokine stimulus" 0.524914558057588
174 0.860608089265267 3 12 "GO:0001963" "synaptic transmission, dopaminergic" 0.957469560107932
-971 0.29047788602464 4 14 "GO:0001964" "startle response" 0.613533213862704
-84 0.956436350734532 2 5 "GO:0001966" "thigmotaxis" 0.988200709730308
-1266 0.329728254183914 3 7 "GO:0001967" "suckling behavior" 0.650779449047199
-369 0.677327086432947 3 15 "GO:0001974" "blood vessel remodeling" 0.879967655611106
-640 0.429653346494987 5 18 "GO:0001975" "response to amphetamine" 0.728824190612325
-1513 0.186683060121797 6 9 "GO:0002003" "angiotensin maturation" 0.497161891337623
-529 0.0155245535985939 3 252 "GO:0002009;GO:0035239" "morphogenesis of an epithelium" 0.135171135503345
-569 0.295689967578799 2 40 "GO:0002011" "morphogenesis of an epithelial sheet" 0.619023082326019
107 0.913995546025164 3 12 "GO:0002024;GO:1990845" "adaptive thermogenesis" 0.975688917875254
-669 0.500082438013349 3 12 "GO:0002026" "regulation of the force of heart contraction" 0.776097785698579
-2399 6.1643803747931e-05 3 33 "GO:0002027" "regulation of heart rate" 0.00320073596383488
-1584 0.00127462706618479 2 49 "GO:0002028" "regulation of sodium ion transport" 0.0261185195469322
-1961 0.0584665128780154 7 11 "GO:0002029;GO:0022401;GO:0023058" "adaptation of signaling pathway" 0.270572255973186
686 0.119816007000867 4 61 "GO:0002040" "sprouting angiogenesis" 0.401508052931501
960 0.429316215697706 4 8 "GO:0002042" "cell migration involved in sprouting angiogenesis" 0.728824190612325
819 0.528370827560218 2 7 "GO:0002051" "osteoblast fate commitment" 0.792956177058873
-1966 0.0861736467924598 2 9 "GO:0002052" "positive regulation of neuroblast proliferation" 0.334138793207008
184 0.810447705979751 3 20 "GO:0002053;GO:0010464" "regulation of mesenchymal cell proliferation" 0.933277797709215
-334 0.648871463836284 3 22 "GO:0002062" "chondrocyte differentiation" 0.867065046278676
-248 0.766357315304791 3 17 "GO:0002063" "chondrocyte development" 0.913971738431203
-379 0.319410040330703 3 82 "GO:0002064" "epithelial cell development" 0.641375317512658
1589 0.0734626944075784 4 15 "GO:0002066" "columnar/cuboidal epithelial cell development" 0.304750861348383
-1703 0.06379272537974 2 14 "GO:0002067;GO:0002065" "columnar/cuboidal epithelial cell differentiation" 0.282218667634944
1228 0.258328809826503 2 10 "GO:0002082" "regulation of oxidative phosphorylation" 0.581555069734309
781 0.577692900526997 6 6 "GO:0002084;GO:0098734" "protein depalmitoylation" 0.828406359632795
418 0.686800780930675 2 11 "GO:0002088" "lens development in camera-type eye" 0.884563076036656
118 0.863876156665657 2 25 "GO:0002090" "regulation of receptor internalization" 0.957707351012557
-844 0.31162097276375 4 17 "GO:0002092" "positive regulation of receptor internalization" 0.635501358693589
1249 0.146139137459153 3 16 "GO:0002098;GO:0002097" "tRNA wobble base modification" 0.443183894178498
134 0.888564725340251 4 13 "GO:0002119;GO:0002164" "larval development" 0.966153179870629
3008 0.00105664077288728 2 14 "GO:0002181" "cytoplasmic translation" 0.0237412472824442
1849 0.154623843117958 4 7 "GO:0002183" "cytoplasmic translational initiation" 0.456258020198468
346 0.55129847369885 3 35 "GO:0002218" "activation of innate immune response" 0.810733049557132
1566 0.000829014465733439 2 54 "GO:0002221" "pattern recognition receptor signaling pathway" 0.0209162156389222
19 0.977983233547626 5 25 "GO:0002223;GO:0002220;GO:0002758" "innate immune response-activating signal transduction" 0.994184763019047
1668 0.00533762145009275 3 33 "GO:0002224" "toll-like receptor signaling pathway" 0.0694520404625696
1434 0.106212781826474 4 15 "GO:0002230;GO:0050691" "regulation of defense response to virus by host" 0.377618806719405
691 0.13312466712492 3 56 "GO:0002244" "hematopoietic progenitor cell differentiation" 0.423814300967044
614 0.231630453417958 3 45 "GO:0002250" "adaptive immune response" 0.553033801111598
174 0.392094190810634 2 293 "GO:0002252" "immune effector process" 0.705809868055044
646 0.0484776878504124 2 111 "GO:0002253" "activation of immune response" 0.242604196095592
-105 0.871942322477971 2 28 "GO:0002260;GO:0001776" "leukocyte homeostasis" 0.959431184155615
1994 0.124758944718342 2 7 "GO:0002262" "myeloid cell homeostasis" 0.409163800007064
-4099 0.000345181574904788 2 9 "GO:0002281;GO:0002280;GO:1901842;GO:1901841" "macrophage activation involved in immune response" 0.0111711160371584
465 0.424207308896453 2 35 "GO:0002285" "lymphocyte activation involved in immune response" 0.725961439527613
1244 0.230127877534961 2 11 "GO:0002286" "T cell activation involved in immune response" 0.552236780778411
297 0.666016578541867 2 25 "GO:0002312" "B cell activation involved in immune response" 0.872962278112987
1464 0.201305993216015 2 9 "GO:0002315;GO:0002313" "mature B cell differentiation involved in immune response" 0.516379379992221
-32 0.983221669300536 2 5 "GO:0002331" "pre-B cell allelic exclusion" 0.995326178854084
1984 0.0254138619476427 2 15 "GO:0002335" "mature B cell differentiation" 0.172764751473055
714 0.582368123455963 2 7 "GO:0002360" "T cell lineage commitment" 0.831828713219294
-332 0.267394525270632 2 133 "GO:0002366;GO:0002263" "cell activation involved in immune response" 0.591497720928715
251 0.0596571592200801 1 704 "GO:0002376" "immune system process" 0.274202409839376
1397 0.22269211989849 2 9 "GO:0002377;GO:0002440" "production of molecular mediator of immune response" 0.542941313993997
-1823 0.235383958308312 3 5 "GO:0002385;GO:0002251" "organ or tissue specific immune response" 0.555468922812985
201 0.590729635836366 3 85 "GO:0002429;GO:0002757;GO:0002768;GO:0002764" "immune response-regulating cell surface receptor signaling pathway" 0.835299318353225
792 0.572343365893048 3 6 "GO:0002437" "inflammatory response to antigenic stimulus" 0.824237245914249
1937 0.0290963461884057 2 15 "GO:0002449;GO:0002443" "leukocyte mediated immunity" 0.185440119786842
916 0.55095518032701 3 5 "GO:0002456" "T cell mediated immunity" 0.81048045673883
1473 0.096964256846483 2 15 "GO:0002460" "adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains" 0.359620183359209
645 0.498704768631837 4 13 "GO:0002474" "antigen processing and presentation of peptide antigen via MHC class I" 0.776097785698579
223 0.709931488370017 2 33 "GO:0002478;GO:0019884;GO:0048002" "antigen processing and presentation of peptide antigen" 0.894036855689853
102 0.770695370052509 2 97 "GO:0002521" "leukocyte differentiation" 0.915880177492017
-333 0.596434638961849 2 30 "GO:0002526" "acute inflammatory response" 0.8402366336001
-1743 0.0424800907528413 2 16 "GO:0002532" "production of molecular mediator involved in inflammatory response" 0.225273208537795
-387 0.552062766521186 4 28 "GO:0002573" "myeloid leukocyte differentiation" 0.811099680289989
-1365 0.00850901788425151 2 44 "GO:0002576" "platelet degranulation" 0.0957264511978295
2022 0.149562167804205 3 6 "GO:0002604;GO:0002577" "regulation of antigen processing and presentation" 0.448401803854612
753 0.591415038615311 4 6 "GO:0002638;GO:0002890;GO:0002713" "negative regulation of immunoglobulin production" 0.835656715746813
586 0.676273592090516 3 6 "GO:0002673" "regulation of acute inflammatory response" 0.879966739171006
-1799 0.116249277831167 4 9 "GO:0002678;GO:0002676" "regulation of chronic inflammatory response" 0.396365951545989
-26 0.859330885630925 3 559 "GO:0002682" "regulation of immune system process" 0.957401187127121
-292 0.281112132269112 2 163 "GO:0002683" "negative regulation of immune system process" 0.604026750782881
-78 0.683206793526986 2 333 "GO:0002684" "positive regulation of immune system process" 0.884182990801153
-823 0.0559798811610922 2 64 "GO:0002685" "regulation of leukocyte migration" 0.263188993518568
4 0.996880519351135 4 12 "GO:0002686" "negative regulation of leukocyte migration" 0.999967395578042
-859 0.109965891696992 2 41 "GO:0002687" "positive regulation of leukocyte migration" 0.384880620939472
-828 0.132889226222884 5 39 "GO:0002688" "regulation of leukocyte chemotaxis" 0.423814300967044
890 0.562318500141473 5 5 "GO:0002689" "negative regulation of leukocyte chemotaxis" 0.818421191968622
-874 0.194973320698377 5 26 "GO:0002690" "positive regulation of leukocyte chemotaxis" 0.508415529966794
-610 0.556204047789185 5 11 "GO:0002691" "regulation of cellular extravasation" 0.814254441706479
-768 0.554163568444006 6 7 "GO:0002693" "positive regulation of cellular extravasation" 0.812886276057469
586 0.0258605027284561 2 173 "GO:0002697" "regulation of immune effector process" 0.174808119301796
39 0.940527845813194 2 43 "GO:0002698" "negative regulation of immune effector process" 0.984055374549899
206 0.523043731956676 5 114 "GO:0002699;GO:0002703" "positive regulation of immune effector process" 0.790284797755559
328 0.800454230455385 3 7 "GO:0002701" "negative regulation of production of molecular mediator of immune response" 0.929731130506808
464 0.281097888203879 2 64 "GO:0002702;GO:0002700" "regulation of production of molecular mediator of immune response" 0.604026750782881
559 0.51563232262787 2 16 "GO:0002707;GO:0002704" "negative regulation of leukocyte mediated immunity" 0.786639454503796
-463 0.741354287587935 2 6 "GO:0002710" "negative regulation of T cell mediated immunity" 0.905010714426171
575 0.290840681388949 2 40 "GO:0002711;GO:0002709" "regulation of T cell mediated immunity" 0.613650030834533
694 0.22623223375705 4 36 "GO:0002720;GO:0002718" "regulation of cytokine production involved in immune response" 0.54845936608623
