"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
1183 0.398414204009424 2 6 "GO:0000098" "sulfur amino acid catabolic process" 0.755301709736983
1910 0.0648734518759997 4 11 "GO:0000105" "histidine biosynthetic process" 0.381839988770141
70 0.720162970112758 6 313 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.920056853979191
124 0.871538433387847 2 20 "GO:0000154;GO:0031167" "rRNA modification" 0.971946727994182
-332 0.332428484148402 5 101 "GO:0000165" "MAPK cascade" 0.715894963357401
-605 0.259926732987518 5 41 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.647660808412844
-242 0.862811715589049 7 6 "GO:0000185" "activation of MAPKKK activity" 0.967847883148893
382 0.619013348271921 2 20 "GO:0000186" "activation of MAPKK activity" 0.877121132278588
-690 0.0805082851945457 3 76 "GO:0000187" "activation of MAPK activity" 0.419152784525234
-407 0.790623159811701 2 5 "GO:0000188" "inactivation of MAPK activity" 0.943042058145322
16 0.937972937992813 2 275 "GO:0000209" "protein polyubiquitination" 0.986136112493987
1478 0.107142388883615 5 14 "GO:0000212" "meiotic spindle organization" 0.472445962922433
105 0.601596017315758 3 297 "GO:0000226" "microtubule cytoskeleton organization" 0.868584109301035
2324 0.0146500395504801 2 13 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.198996370560688
270 0.752795915882985 4 16 "GO:0000245" "spliceosomal complex assembly" 0.930889614735626
353 0.710752337006861 2 13 "GO:0000266" "mitochondrial fission" 0.919336861772458
-926 0.160973786231979 2 27 "GO:0000272" "polysaccharide catabolic process" 0.547934017618781
463 0.19261009005002 2 94 "GO:0000278" "mitotic cell cycle" 0.585372973705802
737 0.056906306158843 3 79 "GO:0000281;GO:0061640;GO:0000910" "cytoskeleton-dependent cytokinesis" 0.364312650423557
1071 0.44466557991776 6 6 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.78652168868863
-11 0.991165773445542 2 12 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.997554214389718
2824 0.00634833871552759 8 11 "GO:0000290;GO:0110156;GO:0110154" "methylguanosine-cap decapping" 0.137025557572141
1822 0.020707530672127 6 19 "GO:0000291" "nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.236080273587865
-797 0.0194833564945631 2 102 "GO:0000302" "response to reactive oxygen species" 0.230023483157619
3177 0.0142908795734849 2 7 "GO:0000338" "protein deneddylation" 0.198922799495011
81 0.940559369990239 2 10 "GO:0000380" "alternative mRNA splicing, via spliceosome" 0.986470854658056
270 0.656605563178529 4 32 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.893723654286635
1939 0.000504308136806783 3 38 "GO:0000387" "spliceosomal snRNP assembly" 0.0301752376776917
-83 0.949027718703025 8 7 "GO:0000389" "mRNA 3'-splice site recognition" 0.987861255501341
379 0.804920453183712 5 5 "GO:0000395" "mRNA 5'-splice site recognition" 0.949556093520631
1096 0.00014618480936048 4 143 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions" 0.0127965850712405
1396 0.056430173557466 8 22 "GO:0000413" "protein peptidyl-prolyl isomerization" 0.363413392923899
703 0.20117833631577 2 39 "GO:0000422;GO:0061726" "autophagy of mitochondrion" 0.591399251097416
-611 0.63750366513364 2 7 "GO:0000423" "mitophagy" 0.887361550378892
826 0.367987632565794 2 14 "GO:0000447;GO:0000479;GO:0000478" "endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.736495333198847
893 0.367195603393196 2 12 "GO:0000460" "maturation of 5.8S rRNA" 0.736495333198847
51 0.930432583114805 4 35 "GO:0000462;GO:0030490" "maturation of SSU-rRNA" 0.984928940413765
559 0.645066823813539 2 8 "GO:0000466;GO:0000463" "maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.89170702366353
598 0.644840604662483 3 7 "GO:0000467;GO:0000459;GO:0031125" "rRNA 3'-end processing" 0.89170702366353
1059 0.147996143350667 2 22 "GO:0000469" "cleavage involved in rRNA processing" 0.530787382108196
-255 0.796773207052419 2 12 "GO:0000470" "maturation of LSU-rRNA" 0.946794105011761
2153 0.160652423261321 2 5 "GO:0000472;GO:0000967" "endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.547913260692896
1585 0.221786118390287 2 7 "GO:0000480" "endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.612245877344828
1021 0.46594008844761 7 6 "GO:0000491" "small nucleolar ribonucleoprotein complex assembly" 0.802271524152486
685 0.45549999248624 3 14 "GO:0000578" "embryonic axis specification" 0.794226656024514
214 0.889236067807947 2 5 "GO:0000706" "meiotic DNA double-strand break processing" 0.978031996774466
315 0.837576596702715 5 5 "GO:0000710" "meiotic mismatch repair" 0.961026697559549
-696 0.521200447494893 4 10 "GO:0000712" "resolution of meiotic recombination intermediates" 0.833340046563044
472 0.758568601171917 2 5 "GO:0000715" "nucleotide-excision repair, DNA damage recognition" 0.932372856439758
202 0.755119289240946 2 28 "GO:0000722;GO:0006312" "mitotic recombination" 0.931484572088192
436 0.22961512415349 4 90 "GO:0000723;GO:0032200" "telomere organization" 0.622026204489848
896 0.0198476173707014 4 80 "GO:0000724;GO:0000725" "recombinational repair" 0.231602436326458
3150 0.0400908489558805 3 5 "GO:0000727" "double-strand break repair via break-induced replication" 0.31456933174696
1169 0.173256508380892 2 16 "GO:0000729" "DNA double-strand break processing" 0.564038233551292
-759 0.233853732525391 5 29 "GO:0000731" "DNA synthesis involved in DNA repair" 0.624265685869007
-200 0.886262979054753 6 6 "GO:0000733" "DNA strand renaturation" 0.97790968767316
466 0.565019356124408 3 18 "GO:0000737;GO:0006308" "DNA catabolic process" 0.854944461075569
1822 0.234997136714304 6 5 "GO:0000738" "DNA catabolic process, exonucleolytic" 0.625102790007363
-79 0.764388752825347 2 172 "GO:0000902" "cell morphogenesis" 0.934820550849929
46 0.881597138042331 2 125 "GO:0000904" "cell morphogenesis involved in differentiation" 0.97496827195083
3151 0.0244691141617817 6 6 "GO:0000915;GO:0000912;GO:0044837" "actomyosin contractile ring organization" 0.253097379962237
68 0.833332828802094 2 115 "GO:0000956;GO:0006402" "mRNA catabolic process" 0.960924031950006
-446 0.561666009304273 3 20 "GO:0000959" "mitochondrial RNA metabolic process" 0.852599622986929
608 0.575565565256291 2 10 "GO:0000963;GO:0140053" "mitochondrial RNA processing" 0.860163903561962
1984 0.195937971487857 8 5 "GO:0000965" "mitochondrial RNA 3'-end processing" 0.587316925315853
1528 0.319302911385112 3 5 "GO:0000972" "transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery" 0.70827415078015
-2147 0.0479308800416172 -1 10 "GO:0001302" "obsolete replicative cell aging" 0.339041465460427
93 0.799008384531211 3 89 "GO:0001501" "skeletal system development" 0.947766346657017
-96 0.92622050287792 3 11 "GO:0001502;GO:0098743" "cartilage condensation" 0.984317517334516
-623 0.0613112778359407 2 107 "GO:0001503" "ossification" 0.371216043133057
-690 0.594931770018014 2 7 "GO:0001504" "neurotransmitter uptake" 0.86708637461231
-1038 0.000277667976452366 3 146 "GO:0001505" "regulation of neurotransmitter levels" 0.0198869170407626
-1379 0.000947467746165122 2 68 "GO:0001508" "action potential" 0.0443709653316711
472 0.312995399255022 4 54 "GO:0001510" "RNA methylation" 0.703532692476695
497 0.745996895455178 4 5 "GO:0001514;GO:0006451" "selenocysteine incorporation" 0.929236086903434
-243 0.851194131797614 2 7 "GO:0001516;GO:0046457" "prostaglandin biosynthetic process" 0.965769019307825
436 0.647086487271971 7 13 "GO:0001522" "pseudouridine synthesis" 0.892032028385712
419 0.525692744740928 2 27 "GO:0001523;GO:0016101" "diterpenoid metabolic process" 0.834326539377995
-430 0.0690184033686846 3 214 "GO:0001525" "angiogenesis" 0.392749064917655
633 0.397821917999642 2 21 "GO:0001541" "ovarian follicle development" 0.755160324797129
-131 0.925497552606931 2 6 "GO:0001556" "oocyte maturation" 0.984172502792987
41 0.863368950846348 2 206 "GO:0001558" "regulation of cell growth" 0.968243186393995
2718 0.0360964079892589 2 7 "GO:0001561" "fatty acid alpha-oxidation" 0.303608043710368
13 0.974954531218712 2 74 "GO:0001568" "blood vessel development" 0.992379429171157
935 0.504418589655994 4 6 "GO:0001569" "branching involved in blood vessel morphogenesis" 0.823622339655918
36 0.951033358753824 4 34 "GO:0001570" "vasculogenesis" 0.987861255501341
1108 0.470187203041136 5 5 "GO:0001573" "ganglioside metabolic process" 0.804406409256406
462 0.278411835326583 4 65 "GO:0001578" "microtubule bundle formation" 0.665008966947326
-1402 0.220324233650606 3 9 "GO:0001580;GO:0050912;GO:0050960;GO:0046957;GO:0052129;GO:0010378" "detection of chemical stimulus involved in sensory perception of taste" 0.611551763045458
286 0.57638199776609 3 45 "GO:0001649" "osteoblast differentiation" 0.860839716726795
551 0.113356847085763 3 98 "GO:0001654;GO:0007423" "sensory organ development" 0.480031575931622
-1718 0.00268781897503612 2 36 "GO:0001656" "metanephros development" 0.0852706060066828
-497 0.413316459293699 3 32 "GO:0001658" "branching involved in ureteric bud morphogenesis" 0.767259652444418
-184 0.83041957365369 4 16 "GO:0001659" "temperature homeostasis" 0.960444955167141
-268 0.754402330109776 3 16 "GO:0001662;GO:0002209;GO:0042596" "fear response" 0.931454425155154
-151 0.581671689818463 3 159 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 0.862556572532871
-930 0.0022872054061279 2 128 "GO:0001667" "ameboidal-type cell migration" 0.0772258568197613
324 0.832994618849516 2 5 "GO:0001675" "acrosome assembly" 0.960850552294207
92 0.854394673691542 2 47 "GO:0001676" "long-chain fatty acid metabolic process" 0.966037823560346
-241 0.772170063141669 2 17 "GO:0001696;GO:0001698;GO:0001697;GO:1900139;GO:0032304;GO:0090237" "gastric acid secretion" 0.936149753390785
482 0.116542347872679 5 126 "GO:0001701;GO:0043009;GO:0009792;GO:0009790" "embryo development ending in birth or egg hatching" 0.485679780886475
-245 0.696044726861365 3 30 "GO:0001702" "gastrulation with mouth forming second" 0.911382338025668
-321 0.633825487569254 3 26 "GO:0001704" "formation of primary germ layer" 0.884847336012955
778 0.350162023101436 4 17 "GO:0001707" "mesoderm formation" 0.730457141747788
-231 0.651707247002052 3 45 "GO:0001708" "cell fate specification" 0.893239031524329
-846 0.192558451206928 2 28 "GO:0001709" "cell fate determination" 0.585372973705802
924 0.446056958234315 7 8 "GO:0001731" "formation of translation preinitiation complex" 0.787664132207633
929 0.238001101852495 4 19 "GO:0001732" "formation of cytoplasmic translation initiation complex" 0.627178729811367
-300 0.495788453001811 4 61 "GO:0001736;GO:0007164" "establishment of planar polarity" 0.820151611267536
-316 0.794241578112668 5 8 "GO:0001738" "morphogenesis of a polarized epithelium" 0.945449493764438
2534 0.0267462365051471 2 9 "GO:0001745" "compound eye morphogenesis" 0.260142921728046
690 0.622495226096588 7 6 "GO:0001751" "compound eye photoreceptor cell differentiation" 0.878416348344934
-970 0.327729431002101 4 12 "GO:0001752;GO:0042067;GO:0007464" "compound eye photoreceptor fate commitment" 0.71293543090863
940 0.259107569695665 2 17 "GO:0001754;GO:0046530" "photoreceptor cell differentiation" 0.647324545348125
-1625 0.00658443214326518 2 33 "GO:0001755" "neural crest cell migration" 0.139687684272621
-429 0.45977499888678 2 35 "GO:0001756;GO:0035282" "segmentation" 0.796286588831378
-1290 0.192936554481413 3 12 "GO:0001759;GO:0003156;GO:0031128" "regulation of animal organ formation" 0.585372973705802
-724 0.065026695781672 2 77 "GO:0001764" "neuron migration" 0.381839988770141
-1865 0.182993206828124 2 6 "GO:0001773;GO:0043011" "myeloid dendritic cell activation" 0.574200052621248
-2131 0.0201859761050902 2 14 "GO:0001778" "plasma membrane repair" 0.233870365315592
-601 0.620555229979118 3 8 "GO:0001779;GO:0030101" "natural killer cell activation" 0.877567635515902
-136 0.877883178563178 6 15 "GO:0001782" "B cell homeostasis" 0.973765179867426
-248 0.718228694686397 2 25 "GO:0001816" "cytokine production" 0.919336861772458
32 0.892842986709494 2 213 "GO:0001817" "regulation of cytokine production" 0.979466632831944
-104 0.782719388995101 2 83 "GO:0001818" "negative regulation of cytokine production" 0.941933439862485
-166 0.603372905419607 2 117 "GO:0001819" "positive regulation of cytokine production" 0.868822514050222
-702 0.0234769163715163 2 124 "GO:0001822" "kidney development" 0.248823730242506
1715 0.0974011931985884 2 11 "GO:0001824" "blastocyst development" 0.456308662289125
1134 0.295896871711949 3 10 "GO:0001825" "blastocyst formation" 0.68668721970072
604 0.693907605877851 2 5 "GO:0001829" "trophectodermal cell differentiation" 0.910379685494017
1671 0.0791684784489688 2 13 "GO:0001833" "inner cell mass cell proliferation" 0.416608935024296
579 0.633494697600031 4 8 "GO:0001835;GO:0035188;GO:0071684" "blastocyst hatching" 0.884646805186218
1138 0.294407900053378 2 10 "GO:0001836" "release of cytochrome c from mitochondria" 0.685642179705158
-786 0.1954248114949 2 32 "GO:0001838;GO:0072175" "epithelial tube formation" 0.587211335159097
1437 0.26793755885806 3 7 "GO:0001841" "neural tube formation" 0.655220300425271
-553 0.146026813923526 3 82 "GO:0001843;GO:0060606" "neural tube closure" 0.527415615569306
-371 0.791057130272682 2 6 "GO:0001867" "complement activation, lectin pathway" 0.943321658627388
229 0.586070414789435 3 67 "GO:0001889" "liver development" 0.863318145565533
541 0.570035437982709 2 13 "GO:0001890" "placenta development" 0.857866130322912
-1029 0.342862217391564 2 10 "GO:0001892" "embryonic placenta development" 0.72358270585677
-589 0.0770572219836502 2 107 "GO:0001894" "tissue homeostasis" 0.411714559846272
-2698 0.0261313059789899 3 8 "GO:0001895" "retina homeostasis" 0.258725650616848
2457 0.0175823455510733 2 11 "GO:0001906" "cell killing" 0.21984820113899
2684 0.0384891321128305 2 7 "GO:0001909" "leukocyte mediated cytotoxicity" 0.313535669237739
199 0.805726568883277 3 18 "GO:0001910;GO:0031341" "regulation of cell killing" 0.949556093520631
-521 0.569782907771987 2 14 "GO:0001912;GO:0031343" "positive regulation of cell killing" 0.857759173579039
-367 0.711244745964587 4 12 "GO:0001916;GO:0001914" "regulation of T cell mediated cytotoxicity" 0.919336861772458
-1415 0.07246244096819 2 19 "GO:0001919" "regulation of receptor recycling" 0.402783164914213
-579 0.593370940439453 2 10 "GO:0001921" "positive regulation of receptor recycling" 0.866743708705336
2617 0.0617594065943293 5 6 "GO:0001923" "B-1 B cell differentiation" 0.371420756961062
-188 0.430163431450271 3 212 "GO:0001933;GO:0042326" "negative regulation of phosphorylation" 0.778179311314746
-195 0.799931114404856 2 20 "GO:0001935" "endothelial cell proliferation" 0.948125982265042
755 0.379239087567925 3 16 "GO:0001937" "negative regulation of endothelial cell proliferation" 0.742921252127078
-228 0.626573472734386 2 54 "GO:0001938;GO:0001936" "regulation of endothelial cell proliferation" 0.880284970853971
-499 0.458964938796709 3 26 "GO:0001942" "hair follicle development" 0.796286588831378
-1050 0.182264662516978 3 19 "GO:0001944" "vasculature development" 0.573611890624338
340 0.472087847134977 4 53 "GO:0001947;GO:0003143" "embryonic heart tube morphogenesis" 0.806217644481126
-190 0.646066474861784 3 69 "GO:0001952" "regulation of cell-matrix adhesion" 0.891926468069992
736 0.390769917566905 2 16 "GO:0001953" "negative regulation of cell-matrix adhesion" 0.750742835446382
546 0.465887594318912 4 21 "GO:0001954" "positive regulation of cell-matrix adhesion" 0.802271524152486
-797 0.441349317530654 4 11 "GO:0001955" "blood vessel maturation" 0.783718341084674
702 0.398912738093632 2 17 "GO:0001956;GO:0051590" "positive regulation of neurotransmitter transport" 0.755321875921284
245 0.873185256951285 3 5 "GO:0001957;GO:0036072" "direct ossification" 0.973019026310402
-1021 0.2071346408294 3 18 "GO:0001958;GO:0036075" "replacement ossification" 0.598390456646575
432 0.24431322010259 3 86 "GO:0001959;GO:0060759" "regulation of response to cytokine stimulus" 0.633559663157651
46 0.928193428629665 2 46 "GO:0001960;GO:0060761" "negative regulation of response to cytokine stimulus" 0.984928940413765
-243 0.620896180461931 2 49 "GO:0001961;GO:0060760" "positive regulation of response to cytokine stimulus" 0.877684283804889
923 0.351614927861359 2 12 "GO:0001963" "synaptic transmission, dopaminergic" 0.731022807304721
-937 0.307249657060539 2 14 "GO:0001964" "startle response" 0.69733606646506
-139 0.927993502152097 2 5 "GO:0001966" "thigmotaxis" 0.984928940413765
2322 0.0734219647202048 2 7 "GO:0001967" "suckling behavior" 0.403564682828382
-694 0.433742890654212 2 15 "GO:0001974" "blood vessel remodeling" 0.780176044186629
-235 0.771273431069388 2 18 "GO:0001975" "response to amphetamine" 0.93558800399453
-996 0.384002145077361 6 9 "GO:0002003" "angiotensin maturation" 0.746986888798636
-375 0.0856662730402412 3 252 "GO:0002009;GO:0035239" "morphogenesis of an epithelium" 0.42896660239536
-161 0.767555134898532 5 40 "GO:0002011" "morphogenesis of an epithelial sheet" 0.934876957414442
196 0.843048136783599 2 12 "GO:0002024;GO:1990845" "adaptive thermogenesis" 0.963512703717619
-319 0.747244272791729 2 12 "GO:0002026" "regulation of the force of heart contraction" 0.930068418440058
-1603 0.00733180286877603 2 33 "GO:0002027" "regulation of heart rate" 0.146853526104679
-1014 0.0388754089125238 2 49 "GO:0002028" "regulation of sodium ion transport" 0.313535669237739
-768 0.457903501353102 7 11 "GO:0002029;GO:0022401;GO:0023058" "adaptation of signaling pathway" 0.795962257479545
-743 0.0913628770737556 2 61 "GO:0002040" "sprouting angiogenesis" 0.444325635576699
-124 0.918492574292073 2 8 "GO:0002042" "cell migration involved in sprouting angiogenesis" 0.981844052166131
-447 0.730350743005868 2 7 "GO:0002051" "osteoblast fate commitment" 0.923661779159242
133 0.907440768899651 4 9 "GO:0002052" "positive regulation of neuroblast proliferation" 0.980942068770205
556 0.469085110942515 3 20 "GO:0002053;GO:0010464" "regulation of mesenchymal cell proliferation" 0.803954510911027
-1430 0.0507472271059536 4 22 "GO:0002062" "chondrocyte differentiation" 0.344696376318199
1152 0.166443179534083 3 17 "GO:0002063" "chondrocyte development" 0.555633410775148
151 0.69142318849839 3 82 "GO:0002064" "epithelial cell development" 0.909645814648453
378 0.669935143896706 5 15 "GO:0002066" "columnar/cuboidal epithelial cell development" 0.897868847519061
-2142 0.0195619717007326 6 14 "GO:0002067;GO:0002065" "columnar/cuboidal epithelial cell differentiation" 0.230023483157619
344 0.751286402474209 2 10 "GO:0002082" "regulation of oxidative phosphorylation" 0.930817521715113
-112 0.936285162444225 6 6 "GO:0002084;GO:0098734" "protein depalmitoylation" 0.986136112493987
-543 0.599825554605545 2 11 "GO:0002088" "lens development in camera-type eye" 0.868581859095834
280 0.683325373776971 5 25 "GO:0002090" "regulation of receptor internalization" 0.904734319343547
-375 0.652189985533126 5 17 "GO:0002092" "positive regulation of receptor internalization" 0.893239031524329
571 0.505753839860555 5 16 "GO:0002098;GO:0002097" "tRNA wobble base modification" 0.824378758972705
-871 0.359989992517042 2 13 "GO:0002119;GO:0002164" "larval development" 0.734596795283268
-2551 0.00541968993088137 5 14 "GO:0002181" "cytoplasmic translation" 0.124363467491632
-144 0.911360579679502 4 7 "GO:0002183" "cytoplasmic translational initiation" 0.980942068770205
693 0.232427901169086 2 35 "GO:0002218" "activation of innate immune response" 0.624069047853667
997 0.0330450836286746 2 54 "GO:0002221" "pattern recognition receptor signaling pathway" 0.290882886988352
49 0.943278510144744 3 25 "GO:0002223;GO:0002220;GO:0002758" "innate immune response-activating signal transduction" 0.987182884718299
1044 0.0807221607538285 5 33 "GO:0002224" "toll-like receptor signaling pathway" 0.419772996571339
178 0.84079320604657 2 15 "GO:0002230;GO:0050691" "regulation of defense response to virus by host" 0.962564660930525
966 0.0355420580649142 4 56 "GO:0002244" "hematopoietic progenitor cell differentiation" 0.301088366438798
331 0.518181209126039 2 45 "GO:0002250" "adaptive immune response" 0.830038148267972
118 0.561348975518226 2 293 "GO:0002252" "immune effector process" 0.852392099991858
293 0.369883630423961 2 111 "GO:0002253" "activation of immune response" 0.736495333198847
-376 0.562605325982026 4 28 "GO:0002260;GO:0001776" "leukocyte homeostasis" 0.853477335018304
2946 0.0231281855801894 2 7 "GO:0002262" "myeloid cell homeostasis" 0.246787659678454
-3413 0.00284448937161999 3 9 "GO:0002281;GO:0002280;GO:1901842;GO:1901841" "macrophage activation involved in immune response" 0.0872853469763656
-40 0.944760575466456 2 35 "GO:0002285" "lymphocyte activation involved in immune response" 0.987590278688619
-820 0.428212879364867 2 11 "GO:0002286" "T cell activation involved in immune response" 0.77716042632789
263 0.701325333720112 3 25 "GO:0002312" "B cell activation involved in immune response" 0.91220617315347
448 0.695371868953488 2 9 "GO:0002315;GO:0002313" "mature B cell differentiation involved in immune response" 0.911037368221491
150 0.921985482730812 6 5 "GO:0002331" "pre-B cell allelic exclusion" 0.982553717728641
1316 0.13746056555523 2 15 "GO:0002335" "mature B cell differentiation" 0.514878045467173
866 0.504315649373074 2 7 "GO:0002360" "T cell lineage commitment" 0.823622339655918
-196 0.513296038428452 3 133 "GO:0002366;GO:0002263" "cell activation involved in immune response" 0.828671575700578
156 0.243613766379228 1 703 "GO:0002376" "immune system process" 0.632726523997039
170 0.881838282188131 2 9 "GO:0002377;GO:0002440" "production of molecular mediator of immune response" 0.97496827195083
-1507 0.326130278625433 3 5 "GO:0002385;GO:0002251" "mucosal immune response" 0.712694294126638
-68 0.855011814037872 5 85 "GO:0002429;GO:0002757;GO:0002768;GO:0002764" "immune response-regulating cell surface receptor signaling pathway" 0.966037823560346
833 0.552205154712316 2 6 "GO:0002437" "inflammatory response to antigenic stimulus" 0.849268362493377
1533 0.0837192049753724 2 15 "GO:0002449;GO:0002443" "leukocyte mediated immunity" 0.425070549858846
2983 0.0519045281557688 3 5 "GO:0002456" "T cell mediated immunity" 0.347525077326231
774 0.382520060413286 2 15 "GO:0002460" "adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains" 0.745023619931439
910 0.339237777841237 4 13 "GO:0002474" "antigen processing and presentation of peptide antigen via MHC class I" 0.722939145072116
739 0.216617436675686 4 33 "GO:0002478;GO:0019884;GO:0048002" "antigen processing and presentation of peptide antigen" 0.609494418551171
-221 0.528159462601129 3 97 "GO:0002521" "leukocyte differentiation" 0.836002453157429
-531 0.39698722757388 2 30 "GO:0002526" "acute inflammatory response" 0.754547094789598
-1510 0.0785404453472667 2 16 "GO:0002532" "production of molecular mediator involved in inflammatory response" 0.415537247380978
-931 0.151227648604174 2 28 "GO:0002573" "myeloid leukocyte differentiation" 0.53627388968637
-599 0.253189804027684 2 43 "GO:0002576" "platelet degranulation" 0.642075216544454
-753 0.59104890360496 5 6 "GO:0002604;GO:0002577" "regulation of antigen processing and presentation" 0.865806165199985
73 0.958747234433744 6 6 "GO:0002638;GO:0002890;GO:0002713" "negative regulation of immunoglobulin mediated immune response" 0.988857002579276
1637 0.242460581227068 3 6 "GO:0002673" "regulation of acute inflammatory response" 0.630771143346368
-1932 0.0912967673161159 2 9 "GO:0002678;GO:0002676" "regulation of chronic inflammatory response" 0.444325635576699
-10 0.948407053578898 3 558 "GO:0002682" "regulation of immune system process" 0.987861255501341
68 0.801831438718583 4 162 "GO:0002683" "negative regulation of immune system process" 0.94864867628311
-38 0.840584913261477 2 333 "GO:0002684" "positive regulation of immune system process" 0.962559322913518
-474 0.269801941326083 3 64 "GO:0002685" "regulation of leukocyte migration" 0.656383827405247
-126 0.89872816504547 4 12 "GO:0002686" "negative regulation of leukocyte migration" 0.979625757988429
-561 0.296036130375293 5 41 "GO:0002687" "positive regulation of leukocyte migration" 0.68668721970072
-959 0.0813525303003844 4 39 "GO:0002688" "regulation of leukocyte chemotaxis" 0.421659441589821
-1001 0.514221703834774 2 5 "GO:0002689" "negative regulation of leukocyte chemotaxis" 0.82886932161673
-863 0.200241689628356 2 26 "GO:0002690" "positive regulation of leukocyte chemotaxis" 0.590481888255296
-170 0.869239857952465 4 11 "GO:0002691" "regulation of cellular extravasation" 0.970386402501461
-877 0.498772610460417 2 7 "GO:0002693" "positive regulation of cellular extravasation" 0.821783942016867
80 0.761950565164135 4 173 "GO:0002697" "regulation of immune effector process" 0.933093347546856
-26 0.960925369966816 2 43 "GO:0002698" "negative regulation of immune effector process" 0.989401836076685
-125 0.699324130668081 2 114 "GO:0002699;GO:0002703" "positive regulation of immune effector process" 0.911658978479893
594 0.647056409249523 2 7 "GO:0002701" "negative regulation of production of molecular mediator of immune response" 0.892032028385712
146 0.735052044760489 2 64 "GO:0002702;GO:0002700" "regulation of production of molecular mediator of immune response" 0.924585155822999
679 0.428530733905131 2 16 "GO:0002707;GO:0002704" "negative regulation of leukocyte mediated immunity" 0.77716042632789
-175 0.900665800629835 4 6 "GO:0002710" "negative regulation of T cell mediated immunity" 0.979625757988429
84 0.877202216911134 3 40 "GO:0002711;GO:0002709" "regulation of T cell mediated immunity" 0.973765179867426
484 0.398223835643748 5 36 "GO:0002720;GO:0002718" "regulation of cytokine production involved in immune response" 0.755301709736983
99 0.882987395796218 5 26 "GO:0002726;GO:0002724;GO:0032743" "positive regulation of T cell cytokine production" 0.975868893380544
